index,disease_name,description,Possible Steps,image_url
0,苹果:黑斑病,"苹果黑斑病是明尼苏达州苹果树和海棠树最常见的疾病。
黑斑病是由一种真菌引起的，感染叶子和果实。
有黑斑的果实通常不适合食用。 
感染的叶子上有橄榄绿色到棕色的斑点。
有许多叶斑的叶子会变黄并提前脱落。
多年来的叶子损失会削弱树木。
种植抗病品种是管理黑斑病的最佳方法。","尽可能选择抗病品种。
在树下清理并销毁感染的叶子，以减少可用于重新开始疾病循环的真菌孢子的数量。
在傍晚或清晨浇水（避免 overhead 灌溉），以便叶子有时间在感染发生之前干燥。
在树下铺一层 3 到 6 英寸的堆肥，远离树干，以覆盖土壤并防止真菌孢子的飞溅传播。
为了获得最佳控制效果，提前两周喷洒液体铜皂，通常在症状出现之前。或者，在疾病首次出现时开始施药，并在花落前每7到10天重复一次。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/1.jpg
1,苹果:黑腐病,"叶片症状在春季早期首次出现，当叶子展开时。
它们表现为叶片上表面的小紫色斑点，随后扩大成直径为1/8到1/4英寸（3-6毫米）的圆形病斑。
病斑的边缘保持紫色，而中心变为褐色。几周后，这些叶斑的次级扩大发生。
重度感染的叶片变得黄化并发生落叶。
随着腐烂区域的扩大，形成一系列宽度均匀的同心环，颜色交替为黑色和褐色。腐烂区域的肉质仍然坚硬且皮革状。黑色小孢子体常常出现在感染果实的表面。",通过修剪至少15英寸以下的癌肿来去除，并将其焚烧或埋葬。在新季节的修剪中也要采取预防措施，并将其焚烧。你最好在休眠季节进行修剪。这将减少火焰枯萎病感染你的树木并产生易受Botryosphaeria感染的死组织的几率。如果树皮因冰雹受损，或在风暴中树枝折断，你也应该采取预防措施。使用基于铜的杀真菌剂可以防止黑腐病和火焰枯萎病。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/1h.jpg
2,苹果:雪松锈病,雪松苹果锈病（Gymnosporangium juniperi-virginianae）是一种真菌病害，需要雪松植物来完成其复杂的两年生命周期。孢子在各种雪松种类的年轻枝条上以红褐色的肿瘤形式越冬。在早春的潮湿天气中，这些肿瘤膨胀，明亮的橙色孢子团被风吹散，感染易感的苹果和蟹苹果树。在这些树上发育的孢子只会在下一年感染雪松。每年，疾病必须从杜松传播到苹果树，再回到杜松；它不能在苹果树之间传播。,"选择可用的抗病品种。
清理并处理树下的落叶和其他杂物。
去除感染杜松的肿瘤。在某些情况下，杜松植物应完全移除。
在芽破裂时开始每周施用标明可用于苹果树的预防性抗病杀真菌剂，以保护树木免受杜松宿主释放的孢子的侵害。这种情况每年只发生一次，因此在春季传播后不需要额外的施用。
在杜松上，可以通过在8月底到10月底之间喷洒铜溶液（每加仑水0.5到2.0盎司）来控制锈病。
大多数真菌和细菌疾病可以安全地使用SERENADE Garden进行处理。这种广谱生物杀真菌剂使用了一种专利的枯草芽孢杆菌菌株，注册为有机使用。最重要的是，SERENADE对蜜蜂和有益昆虫完全无毒。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/2.jpg
3,苹果:健康,与大多数水果一样，苹果在充足阳光下生长时产量最佳，这意味着每天需要六小时或更多的直射夏季阳光。苹果的最佳光照位置是房子的北侧、树木的边缘或高地，而不是南侧。苹果树需要排水良好的土壤，但应能保持一定的湿度。,"苹果富含营养。
苹果可能有助于减肥。
苹果可能对你的心脏有益。
它们与降低糖尿病风险相关。
它们可能具有益生元效果，促进良好的肠道细菌。
苹果中的物质可能有助于预防癌症。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,没有叶子的背景,给定图像中没有叶子,请重新上传带有叶子的图像,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/img_332817.png
5,蓝莓:健康,"蓝莓热量低但营养丰富。...
蓝莓是抗氧化食品之王。...
蓝莓减少DNA损伤，可能有助于保护免受衰老和癌症的影响。...
蓝莓保护你血液中的胆固醇不被损坏。...
蓝莓可能降低血压。",深层低pH的覆盖物，如泥炭苔、松针或经过良好老化的锯末，可以保持水分并最小化土壤水分波动。在白天给蓝莓植物浇水。保持土壤湿润但不潮湿。在生长季节每周至少给予1英寸的水，在果实成熟期间每周可达4英寸。蓝莓是一种浅根植物。因此，它需要一种能够保持水分但又能良好排水且不易保持湿润的土壤。不要在重粘土土壤中种植蓝莓，这些土壤容易保持湿润。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/5.jpg
6,樱桃:白粉病,初期症状通常在第一次灌溉后7到10天出现，表现为年轻易感叶片（新展开的、浅绿色的扩展叶片）上出现轻微的圆形粉状斑点。老叶对白粉病发展出与年龄相关的（发育性）抗性，自然比年轻叶片更能抵抗感染。注意根吸芽、树冠内部或树叉处的早期叶片感染，这些地方湿度较高。与其他真菌相比，白粉病不需要自由水来发芽，但高湿度有利于发芽和真菌生长。该病更可能在叶子的背面（腹面）开始，但在后期阶段会出现在两面。随着季节的推移，感染通过风传播，叶子可能会变形，向上卷曲。严重感染可能导致叶子皱缩和扭曲。新发芽的新叶逐渐变小，通常呈苍白色，可能会变形。,消毒切割边缘，然后立即修剪并丢弃植物的病变部分。同时，施用杀真菌剂以保护果树上剩余的叶子。您需要根据标签说明重复施用杀真菌剂，以在整个季节内保护树木。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/Fig1.png
7,樱桃:健康,"酸樱桃和甜樱桃的护理没有区别。
施加覆盖物以保持湿度。
在树上覆盖网以保护果实免受鸟类侵害。
在干燥地区定期浇水。
樱桃树通常在初夏自然疏果，因此不需要疏果。","富含营养。
富含抗氧化剂和抗炎化合物。
可以促进运动恢复。
可能有益于心脏健康。
可能改善关节炎和痛风的症状。
可能改善睡眠质量。
易于添加到饮食中。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,玉米:叶斑病 | 灰叶斑,玉米上的灰叶斑病是由真菌Cercospora zeae-maydis引起的，是美国一种常见且经济损失严重的疾病。自1990年代中期以来，该病在印第安纳州的重要性不断增加，现在已成为该州最重要的玉米叶部疾病之一。灰叶斑病是由真菌Pyricularia grisea引起的，也称为Magnaporthe grisea。佛罗里达常见的频繁温暖雨季为这种真菌病创造了有利条件。这种真菌减缓生长，稀疏已建立的植株，并可能杀死大片的圣树。,"深度灌溉，但要不频繁。
在疾病活跃期间避免在草坪上使用后生长除草剂。
避免使用中到高氮肥料水平。
改善草坪的空气流通和光照水平。
以适当的高度修剪草坪，并仅在草坪干燥时修剪。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,玉米:常见锈病,尽管在整个生长季节的玉米田中总能找到一些锈病小孢子，但症状通常在抽穗后才会出现。这些可以通过在玉米叶的上下表面上散布的深红褐色小孢子（尿囊）来轻松识别并与其他疾病区分开。这些小孢子可能出现在植物的任何地上部分，但在叶子上最为丰富。小孢子的形状呈椭圆形到延长形，通常较小，长度少于1/4英寸，并被叶表皮层包围，叶表皮层在此处已破裂。 ,为了减少玉米锈病的发生，种植仅具有抗真菌能力的玉米。抗性可以是特定种类的抗性或部分锈病抗性。在任何情况下，没有甜玉米是完全抗病的。如果玉米开始出现感染症状，立即喷洒杀真菌剂。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/PLNTPTH-CER-02_Figure_1.png
10,玉米:北部叶斑病,北部玉米叶斑病（NCLB）是由真菌Setosphaeria turcica引起的。症状通常首先出现在下部叶片上。叶片病斑呈长条形（1到6英寸）和椭圆形，最初为灰绿色，但随后变为浅灰色或棕褐色。在潮湿条件下，通常在下叶表面产生深灰色孢子，使病斑呈现出“肮脏”的灰色外观。在严重受害的植物上，整个叶片可能会枯死，因此个别病斑不可见。病斑可能出现在耳朵的外壳上，但籽粒并未受到感染。在含有抗真菌Ht基因的杂交种上，病斑较小，呈氯osis，可能发展成线状条纹。这些病斑很少产生孢子。,施用杀真菌剂减少了北部玉米叶斑病的损害，并保护了产量。在易感玉米杂交种中，杀真菌剂的价值在减少产量方面更高。杀菌剂在疾病发生时施用效果最佳。疾病发生的生长阶段各不相同，因此施用杀菌剂的最佳阶段也不同。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/NLB-Daren-Mueller-02.jpg
11,玉米:健康,玉米植物在白天的最佳温度为75到80华氏度，夜间为65到70华氏度。土壤应保持持续湿润，但不能过于潮湿，且每六个月只需施肥一次。尽管龙血树可以在低光条件下生存，但在明亮但间接的光线下生长最好。植物产生少量黄叶是正常现象，不必过于担心。然而，如果一次性产生大量黄叶，比如五六片，可能是浇水过多或植物缺乏光照。,玉米有多种健康益处。由于其高纤维含量，玉米有助于消化。它还含有重要的B族维生素，对整体健康至关重要。玉米还为我们的身体提供了锌、镁、铜、铁和锰等必需矿物质。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg
12,葡萄:黑腐病,葡萄黑腐病是一种由子囊菌引起的真菌病害，病原菌为Guignardia bidwellii，主要在炎热潮湿的天气中侵袭葡萄藤。葡萄黑腐病起源于北美东部，但现在在欧洲、南美和亚洲的部分地区也有发生。在温暖潮湿的气候中，它可能导致完全的作物损失，但在干燥的夏季地区几乎没有发生。这个名字来源于生长的棕色斑块周围的黑色边缘。该病害还会侵袭植物的其他部分，所有绿色部分:嫩枝、叶子和果实的茎、卷须以及果实。对果实的损害是最严重的。,Mancozeb以BONIDE MANCOZEB FLOWABLE杀菌剂的形式提供。它含有37%的Mancozeb，应该对控制黑腐病非常有效。Nova（myclobutanil）以IMMUNOX FUNGICIDE的形式提供，含有1.55%的myclobutanil，应该对控制黑腐病有效。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/330px-Guignardia_bidwellii_08.jpg
13,葡萄:艾斯卡 | 黑斑病,葡萄藤黑斑病，也称为艾斯卡、黑斑病或西班牙斑病，长期以来一直困扰着葡萄种植者，其症状表现隐秘，并且长期以来缺乏可识别的病原体。名称“斑病”指的是果实表面发现的浅表斑点（图1）。在生长季节，这些斑点可能会在果皮表面融合，使浆果看起来呈黑色。斑点可以在果实设置和收获前几天之间的任何时间发展。在果实设置时受影响的浆果通常不会成熟，而是会枯萎和干燥。此外，季节后期受影响的果实也会有一种辛辣的味道。叶片症状在感染严重时表现为“虎纹”模式（图2-下叶）。轻微感染可以产生叶片症状（图2-上叶），这些症状可能与其他疾病或营养缺乏症混淆。白色品种会显示出氯osis的区域，随后是坏死，而红色品种则以红色区域和坏死为特征。早春症状包括芽尖枯萎、叶片变色以及在严重情况下的完全落叶。,迄今为止，没有有效的方法来控制这种疾病。移除感染的浆果、叶子和树干并销毁它们。保护修剪伤口以减少真菌感染，使用伤口密封剂（5%硼酸与丙烯酸漆混合）或精油或合适的杀真菌剂。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg
14,葡萄:叶枯病 | 伊萨里奥普斯叶斑病,"这种真菌是一种专性病原体，可以攻击藤蔓的所有绿色部分。
这种疾病的症状常常与白粉病的症状混淆。感染的叶子会发展出淡黄色-绿色的病斑，逐渐变成棕色。严重感染的叶子常常提前掉落。感染的叶柄、卷须和嫩枝常常卷曲，形成牧羊人的弯曲，最终变成棕色并死亡。幼果对感染高度敏感，常常被真菌的白色果实结构覆盖。感染的老浆果在白色品种中可能变成暗灰绿色，而在黑色品种中则变成粉红色。","施用休眠喷雾以减少病原水平。
剪掉它。
打开那片树冠。
不要放松你的防御。
早期侦察，频繁侦察。
使用保护性和系统性杀真菌剂。
考虑杀真菌剂的抗药性。
关注天气。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg
15,葡萄:健康,仅对根区施水。避免让葡萄叶片变湿，因为这可能会促进许多葡萄病害。减少秋季对幼藤的浇水，以促使植物硬化其枝条，为冬季做准备。老藤通常不需要浇水，除非在沙土或其他非常排水良好的土壤中。,"富含营养，尤其是维生素C和K。
高抗氧化成分可能预防慢性疾病。
植物化合物可能保护免受某些类型癌症的影响。
对心脏健康有多种显著益处。
可能降低血糖水平并保护免受糖尿病的影响。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/grapes-1200.jpg
16,橙子:黄龙病 | 柑橘黄化病,柑橘黄化病是一种由媒介传播的病原体引起的柑橘病害。HLB的典型症状是叶脉及其周围组织的黄化；随后是整个叶片的斑驳黄化、提前落叶、枝条枯萎、细根和侧根的腐烂，以及生长活力的下降，最终导致整株植物的死亡。受影响的树木生长受阻，开出多朵非季节性花朵（大多数会掉落），并且结出小而不规则的果实，果皮厚且呈苍白色，底部保持绿色，味道非常苦。常见症状常常与营养缺乏症相混淆；然而，营养缺乏症的区分因素在于对称模式。营养缺乏症往往在叶脉边缘呈对称分布，而HLB则在叶脉周围呈不对称黄化。HLB最明显的症状是果实的黄化和生长受阻，尤其是在成熟后。,防止柑橘黄龙病传播的唯一方法是控制ACP（亚洲柑橘蚜虫）。由于柑橘是如此受欢迎且广泛种植的园艺树，房主们在这场重要斗争中处于前线。用Neem油杀虫剂喷洒柠檬树，喷洒叶片的正面和背面。根据虫害的严重程度，您可能需要在10-14天后重复处理。随后用液体铜杀菌剂处理霉菌生长。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/CitrusGreening.jpg
17,桃子:细菌性斑点,细菌性斑点是由黄单胞菌（Xanthomonas campestris pv. pruni）引起的桃子、油桃、杏子和李子的一个重要病害。该病害的症状包括果实斑点、叶片斑点和枝条干腐。果实症状包括凹陷、裂开、树胶分泌和水浸组织，这些症状会使果实更容易受到褐腐、根腐和其他真菌感染的影响。严重的叶斑感染可能导致早期落叶。严重的落叶会导致果实大小减少，以及果实的日灼和裂开。早期落叶的树木在生长力和冬季抗寒性方面都会减弱。,细菌性斑点的果实症状可能与由真菌克拉多斯波里乌姆·卡尔波菲利姆（Cladosporium carpophyllium）引起的桃子斑点混淆，然而斑点更为圆形，呈深棕色/绿色的毛茸茸外观，并且不会使果实表面凹陷，尽管可能会发生果皮裂开。疮痂病不会导致叶片症状，但会在树枝上造成斑点。细菌性斑点的初始果实斑点可能是表面的，但会发展成坑洞。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/17.jpg
18,桃子:健康,桃树生长在美国农业部的5到8或9区，并且有矮生或标准尺寸可供选择，使其成为后院果园的绝佳选择。与大多数观赏植物不同，桃树需要定期修剪、施肥和喷洒以保持健康和高产。保持树周围的土地清洁，去除与水分和养分竞争的草和杂草，并大量覆盖 mulch。,"富含营养和抗氧化剂。
可能有助于消化。
可能改善心脏健康。
可能保护你的皮肤。
可能预防某些类型的癌症。
可能减少过敏症状。
广泛可用，易于添加到你的饮食中。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/peaches-shutterstock_297863489-1.jpg
19,甜椒:细菌性斑点,在老叶的下表面出现的小水泡状斑点和在上表面出现的小水浸斑点是细菌性斑点的症状。这是一种在马里兰州重要的辣椒病害。它偶尔也会攻击番茄。最终，斑点会发展成灰色到棕色的中心，周围有较深的边缘。病斑在温暖潮湿的天气中会扩大。叶子可能会变黄，然后变棕并掉落。病斑也可能在茎上发展。果实会出现小的、凸起的粗糙斑点，但不会影响食用质量。严重感染的叶子会掉落，导致辣椒的日灼。细菌性叶斑病通过飞溅的雨水和处理湿的感染植物传播。这种病害在潮湿天气中可能导致植物落叶。炎热干燥的天气会减缓这种病害的传播。这种病害可以通过种子或移植苗传播，并可以在作物残留物和土壤中越冬。,"选择抗病品种
购买无病种子和移植苗。
将种子浸泡在10%的氯漂白水溶液中（1份漂白水；9份水）2分钟。在种植前彻底冲洗种子并晾干。
用厚厚的有机材料如报纸覆盖稻草或草屑深度覆盖植物。
避免 overhead 浇水。
在季末移除并丢弃严重感染的植物部分和所有残骸。
每10-14天喷洒一次固定铜（有机杀菌剂）以减缓感染的传播。
如果感染严重，将辣椒轮作到不同的位置，并在种植前用黑色塑料覆盖土壤或黑色景观布。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/19.jpg
